oraciones
1. Con mi equipo de trabajo nos reunimos una vez al mes para establecer metas.
2. Existe un trato respetuoso entre las personas que conforman mi equipo de trabajo.
"3. Entre mis compañeros existe un ambiente de confienza solido y mutuo."
4. Integramos al nuevo colaborador al grupo de trabajo
5. Dentro de mi equipo de trabajo perseguimos las mismas metas.
6. Existe un ambiente de trabajo donde todos nos sentimos valorados.
7. Mi equipo de trabajo me inspira a dar lo mejor de mi.
8. Mi equipo trabaja de forma coordinada y cada miembro sabe cual es su rol dentro del grupo.
