oracion
1. Mi líder me proporciona información periódicamente sobre mi desempeño.
2. Mi líder se ocupa de mantener un buen clima de trabajo.
"3. Los objetivos de mi puesto de trabajo, son definidos con claridad por mi líder."
4. Mi líder me mantiene actualizado sobre cambios y novedades de la empresa.
5. Mi líder tiene un trato justo conmigo.
"6. Las diferencias de cultura, sexo, religión son respetadas por mi jefe."
7. Mi jefe planifica y organiza claramente las tareas de mi puesto de trabajo.
8. Mi líder estimula el desarrollo de mis capacidades.
